protocol,num_uavs,seed,attempted,delivered,pdr,avg_latency_ms,avg_hops,throughput_pps,topology_changes_per_s,avg_link_lifetime_s,control_packets_per_s,route_discoveries,route_failures,stale_route_failures
greedy_geographic,5,11111,600,83,0.13833333333333334,15.658131207119148,1.3614457831325302,0.6916666666666667,0.1,20.0,0.0,0,46,0
greedy_geographic,5,12111,600,87,0.145,14.816199794201195,1.1839080459770115,0.725,0.1,31.8,0.0,0,114,0
greedy_geographic,5,13111,600,119,0.19833333333333333,14.547819289946247,1.1428571428571428,0.9916666666666667,0.10833333333333334,50.75,0.0,0,136,0
greedy_geographic,5,14111,600,64,0.10666666666666667,14.538677494162213,1.125,0.5333333333333333,0.15833333333333333,16.571428571428573,0.0,0,66,0
greedy_geographic,5,15111,600,188,0.31333333333333335,15.643982692916625,1.3563829787234043,1.5666666666666667,0.21666666666666667,31.555555555555557,0.0,0,83,0
greedy_geographic,5,16111,600,132,0.22,15.465716753688815,1.3484848484848484,1.1,0.1,31.0,0.0,0,75,0
greedy_geographic,5,17111,600,139,0.23166666666666666,14.789997256457058,1.1798561151079137,1.1583333333333334,0.15,33.125,0.0,0,83,0
greedy_geographic,5,18111,600,112,0.18666666666666668,15.183092354662007,1.2678571428571428,0.9333333333333333,0.08333333333333333,33.2,0.0,0,83,0
greedy_geographic,5,19111,600,87,0.145,14.80334697862671,1.160919540229885,0.725,0.125,24.857142857142858,0.0,0,106,0
greedy_geographic,5,20111,600,77,0.12833333333333333,14.86566557198917,1.1948051948051948,0.6416666666666667,0.1,17.0,0.0,0,72,0
greedy_geographic,5,21111,600,107,0.17833333333333334,14.196388590059831,1.0467289719626167,0.8916666666666667,0.1,32.333333333333336,0.0,0,144,0
greedy_geographic,5,22111,600,164,0.2733333333333333,14.55835570029572,1.1341463414634145,1.3666666666666667,0.13333333333333333,33.125,0.0,0,139,0
greedy_geographic,5,23111,600,88,0.14666666666666667,14.480451245547304,1.1022727272727273,0.7333333333333333,0.09166666666666666,27.166666666666668,0.0,0,99,0
greedy_geographic,5,24111,600,111,0.185,14.487416521742965,1.1261261261261262,0.925,0.09166666666666666,27.5,0.0,0,98,0
greedy_geographic,5,25111,600,166,0.27666666666666667,15.543058857691175,1.3674698795180722,1.3833333333333333,0.14166666666666666,28.22222222222222,0.0,0,84,0
greedy_geographic,5,26111,600,112,0.18666666666666668,14.294728396790688,1.0892857142857142,0.9333333333333333,0.09166666666666666,31.0,0.0,0,95,0
greedy_geographic,5,27111,600,130,0.21666666666666667,14.83233492200822,1.1846153846153846,1.0833333333333333,0.16666666666666666,27.875,0.0,0,123,0
greedy_geographic,5,28111,600,45,0.075,14.16336377214294,1.0444444444444445,0.375,0.1,21.0,0.0,0,78,0
greedy_geographic,5,29111,600,128,0.21333333333333335,14.861816187102562,1.21875,1.0666666666666667,0.15,28.571428571428573,0.0,0,79,0
greedy_geographic,5,30111,600,226,0.37666666666666665,15.07590165123879,1.2212389380530972,1.8833333333333333,0.19166666666666668,38.333333333333336,0.0,0,119,0
greedy_geographic,5,31111,600,124,0.20666666666666667,15.380611975306627,1.2983870967741935,1.0333333333333334,0.11666666666666667,31.666666666666668,0.0,0,96,0
shortest_path_oracle,10,2196,600,85,0.14166666666666666,16.045851036039693,1.4705882352941178,0.7083333333333334,0.4,24.4,0.0,0,0,0
shortest_path_oracle,10,3196,600,128,0.21333333333333335,16.398976711309103,1.5546875,1.0666666666666667,0.6,23.838709677419356,0.0,0,0,0
shortest_path_oracle,10,4196,600,141,0.235,16.459782955537545,1.5390070921985815,1.175,0.5083333333333333,26.444444444444443,0.0,0,0,0
shortest_path_oracle,10,5196,600,45,0.075,14.186610170507382,1.0888888888888888,0.375,0.30833333333333335,23.333333333333332,0.0,0,0,0
shortest_path_oracle,10,6196,600,106,0.17666666666666667,17.285111784782284,1.7075471698113207,0.8833333333333333,0.44166666666666665,23.68,0.0,0,0,0
shortest_path_oracle,10,7196,600,116,0.19333333333333333,16.690586675062054,1.5862068965517242,0.9666666666666667,0.425,26.708333333333332,0.0,0,0,0
shortest_path_oracle,10,8196,600,226,0.37666666666666665,17.634590534877972,1.7964601769911503,1.8833333333333333,0.6333333333333333,34.4,0.0,0,0,0
shortest_path_oracle,10,9196,600,141,0.235,15.994477142061417,1.4397163120567376,1.175,0.6166666666666667,28.413793103448278,0.0,0,0,0
shortest_path_oracle,10,10196,600,113,0.18833333333333332,15.10217097973532,1.2300884955752212,0.9416666666666667,0.5,27.724137931034484,0.0,0,0,0
shortest_path_oracle,10,11196,600,139,0.23166666666666666,16.422700665903413,1.5323741007194245,1.1583333333333334,0.6083333333333333,22.774193548387096,0.0,0,0,0
shortest_path_oracle,10,12196,600,134,0.22333333333333333,16.32716327852277,1.537313432835821,1.1166666666666667,0.75,20.38888888888889,0.0,0,0,0
shortest_path_oracle,10,13196,600,109,0.18166666666666667,14.62967644796889,1.1743119266055047,0.9083333333333333,0.5,30.11111111111111,0.0,0,0,0
shortest_path_oracle,10,14196,600,117,0.195,16.26253466758397,1.5299145299145298,0.975,0.6416666666666667,20.606060606060606,0.0,0,0,0
shortest_path_oracle,10,15196,600,79,0.13166666666666665,15.810268523205668,1.379746835443038,0.6583333333333333,0.4083333333333333,21.416666666666668,0.0,0,0,0
shortest_path_oracle,10,16196,600,155,0.25833333333333336,16.576371992552673,1.5741935483870968,1.2916666666666667,0.6416666666666667,24.142857142857142,0.0,0,0,0
shortest_path_oracle,10,17196,600,150,0.25,17.881725372237955,1.8466666666666667,1.25,0.6333333333333333,24.96969696969697,0.0,0,0,0
shortest_path_oracle,10,18196,600,190,0.31666666666666665,16.05462203149042,1.4631578947368422,1.5833333333333333,0.6916666666666667,28.68421052631579,0.0,0,0,0
shortest_path_oracle,10,19196,600,117,0.195,15.476534864552441,1.3162393162393162,0.975,0.575,23.733333333333334,0.0,0,0,0
shortest_path_oracle,10,20196,600,229,0.38166666666666665,17.001801474277453,1.6506550218340612,1.9083333333333334,0.6666666666666666,30.485714285714284,0.0,0,0,0
shortest_path_oracle,10,21196,600,176,0.29333333333333333,16.612501513057893,1.5625,1.4666666666666666,0.6333333333333333,29.333333333333332,0.0,0,0,0
shortest_path_oracle,10,22196,600,224,0.37333333333333335,17.71562108165855,1.8258928571428572,1.8666666666666667,0.5666666666666667,29.4375,0.0,0,0,0
shortest_path_oracle,10,23196,600,202,0.33666666666666667,17.752002904402428,1.8514851485148516,1.6833333333333333,0.55,28.838709677419356,0.0,0,0,0
shortest_path_oracle,10,24196,600,105,0.175,15.532418657971006,1.3333333333333333,0.875,0.44166666666666665,23.64,0.0,0,0,0
shortest_path_oracle,10,25196,600,142,0.23666666666666666,16.540078531695332,1.5774647887323943,1.1833333333333333,0.325,38.1,0.0,0,0,0
shortest_path_oracle,10,26196,600,186,0.31,17.591230608942944,1.8064516129032258,1.55,0.5,24.517241379310345,0.0,0,0,0
shortest_path_oracle,10,27196,600,150,0.25,17.026211897621796,1.7,1.25,0.6166666666666667,24.875,0.0,0,0,0
