model,num_uavs,seed,pdr,latency_ms,hops,topology_changes_per_s,mean_link_reliability,mean_sinr_db,energy_mj_per_packet,throughput_pkt_s
binary,30,1029,1.0,20.656013518014543,2.477777777777778,18.8,1.0,99.0,0.0,6.0
wireless,30,1000,0.9277777777777778,11.595928186088734,1.6467065868263473,186.4,0.9571776251956196,27.281515620922917,0.27789029940119764,5.566666666666666
wireless,30,1001,0.9,11.71132552487695,1.654320987654321,189.0,0.9545288578978318,26.120730320364064,0.27917526913580243,5.4
wireless,30,1002,0.9333333333333333,11.613877465044983,1.6785714285714286,187.36666666666667,0.9546381971363977,27.61665704191501,0.2832676571428571,5.6
wireless,30,1003,0.9277777777777778,11.837127335802483,1.6826347305389222,185.63333333333333,0.9545691023231536,26.518895471780443,0.2839533604790419,5.566666666666666
wireless,30,1004,0.9388888888888889,11.540474400984651,1.668639053254438,189.13333333333333,0.9536390318137424,26.351284171569564,0.28159151715976327,5.633333333333334
wireless,30,1005,0.9555555555555556,11.759269031323436,1.7034883720930232,186.7,0.9553090800722337,26.83329599243201,0.2874725209302325,5.733333333333333
wireless,30,1006,0.9166666666666666,11.767498793824853,1.6666666666666667,191.26666666666668,0.9515258523255024,26.0370931628079,0.28125866666666666,5.5
wireless,30,1007,0.9333333333333333,11.544370707573036,1.630952380952381,187.03333333333333,0.9537114744836037,25.83056705774694,0.27523169523809526,5.6
wireless,30,1008,0.8944444444444445,11.386845002447261,1.6211180124223603,188.56666666666666,0.9533975287281197,26.412543815131382,0.27357209440993785,5.366666666666666
wireless,30,1009,0.9611111111111111,11.404401740563813,1.653179190751445,190.43333333333334,0.9564331431974221,26.71891832330688,0.27898258497109824,5.766666666666667
wireless,30,1010,0.9333333333333333,11.744275984205641,1.6666666666666667,184.76666666666668,0.9516621493451722,26.210139611748115,0.28125866666666666,5.6
wireless,30,1011,0.9,12.090030971959745,1.728395061728395,187.9,0.9554498601742871,26.729262221477985,0.2916756543209877,5.4
wireless,30,1012,0.9555555555555556,11.836302811745373,1.691860465116279,187.3,0.9549463411321354,26.29732182936277,0.2855102511627907,5.733333333333333
wireless,30,1013,0.9444444444444444,11.424953056477891,1.588235294117647,189.76666666666668,0.95727303344173,26.503113228976854,0.2680229647058823,5.666666666666667
wireless,30,1014,0.9388888888888889,11.513621388709845,1.621301775147929,187.86666666666667,0.9550050120648809,26.900691766920875,0.27360310532544374,5.633333333333334
wireless,30,1015,0.9111111111111111,11.580757004153549,1.6524390243902438,190.33333333333334,0.9528740136956512,26.328271557326488,0.2788576780487805,5.466666666666667
wireless,30,1016,0.9222222222222223,11.776963665928731,1.7409638554216869,188.1,0.9585367231145043,27.63801264081965,0.2937967036144578,5.533333333333333
wireless,30,1017,0.9611111111111111,11.414001176909464,1.6184971098265897,189.0,0.955116682130701,26.3771104634319,0.2731298034682081,5.766666666666667
wireless,30,1018,0.9111111111111111,11.681454448757588,1.6219512195121952,185.36666666666667,0.9486680073303886,25.685225753608826,0.2737127024390244,5.466666666666667
wireless,30,1019,0.9333333333333333,11.897840746799158,1.7083333333333333,183.56666666666666,0.9466340295764782,25.25549402827357,0.2882901333333333,5.6
wireless,30,1020,0.9277777777777778,11.550159279490945,1.622754491017964,185.56666666666666,0.9548244418778449,27.583283764077112,0.2738482586826347,5.566666666666666
wireless,30,1021,0.9611111111111111,11.567156000483966,1.653179190751445,190.46666666666667,0.9557168136473484,25.854498214727794,0.27898258497109824,5.766666666666667
wireless,30,1022,0.9277777777777778,11.974516184745593,1.7065868263473054,188.23333333333332,0.9539951136674162,26.36085697595657,0.2879954011976048,5.566666666666666
wireless,30,1023,0.9222222222222223,11.515122627820634,1.6385542168674698,190.56666666666666,0.9505500596083996,26.58903464575312,0.2765145445783132,5.533333333333333
wireless,30,1024,0.8833333333333333,11.682701705761186,1.6352201257861636,191.4,0.9551725032886998,24.99567230716776,0.2759518993710692,5.3
wireless,30,1025,0.9222222222222223,11.625608507270954,1.6867469879518073,189.1,0.9540815287906355,27.344915841785568,0.28464732530120485,5.533333333333333
wireless,30,1026,0.9,11.771616095079414,1.6604938271604939,187.53333333333333,0.9534574605294894,26.461744299972633,0.28021696790123457,5.4
wireless,30,1027,0.9166666666666666,11.425672091144634,1.6303030303030304,193.0,0.9583080066927436,26.54900070680803,0.27512211393939395,5.5
wireless,30,1028,0.9555555555555556,11.595109906329117,1.686046511627907,184.9,0.954626377308812,26.656305456078506,0.28452911627906974,5.733333333333333
wireless,30,1029,0.9055555555555556,11.435608621413307,1.5828220858895705,190.53333333333333,0.9534604211125577,26.31426354926838,0.26710945766871164,5.433333333333334
